M2020-01,11,29,090320,ARBREDEC
420 ,3 ,79 ,0  ,2  ,534  
421 ,3 ,79 ,0  ,2  ,536  
422 ,12,0  ,19 ,0  ,4170 
423 ,12,0  ,19 ,0  ,4180 
424 ,12,0  ,19 ,0  ,4190 
425 ,12,0  ,19 ,0  ,4200 
426 ,12,0  ,19 ,0  ,4100 
427 ,12,0  ,19 ,0  ,4110 
428 ,12,0  ,19 ,0  ,4217 
429 ,12,0  ,19 ,0  ,4227 
430 ,29,0  ,0  ,2  ,538  
431 ,28,222,0  ,1  ,430  
432 ,2 ,16 ,0  ,2  ,540  
433 ,12,0  ,21 ,0  ,1040 
434 ,9 ,23 ,0  ,2  ,542  
435 ,2 ,16 ,1  ,2  ,544  
436 ,20,0  ,243,1  ,0    
437 ,12,0  ,22 ,0  ,5037 
438 ,22,0  ,2  ,2  ,546  
439 ,12,0  ,23 ,0  ,1020 
440 ,38,6  ,6  ,2  ,548  
441 ,7 ,22 ,7  ,2  ,550  
442 ,7 ,23 ,0  ,2  ,552  
443 ,12,0  ,15 ,0  ,4083 
444 ,12,0  ,15 ,0  ,4071 
445 ,12,0  ,15 ,0  ,4072 
446 ,12,0  ,15 ,0  ,4061 
447 ,12,0  ,15 ,0  ,4062 
448 ,2 ,26 ,1  ,2  ,554  
449 ,5 ,18 ,4  ,2  ,556  
450 ,2 ,0  ,2  ,2  ,558  
451 ,12,0  ,1  ,0  ,1100 
452 ,36,14 ,6  ,2  ,560  
453 ,36,2  ,0  ,2  ,562  
454 ,1 ,1  ,0  ,7  ,564  
455 ,12,0  ,2  ,0  ,4097 
456 ,2 ,39 ,4  ,2  ,571  
457 ,12,0  ,2  ,0  ,1030 
458 ,35,0  ,0  ,2  ,573  
459 ,2 ,29 ,6  ,2  ,575  
460 ,2 ,37 ,2  ,2  ,577  
461 ,12,0  ,3  ,0  ,1180 
462 ,22,0  ,2  ,2  ,579  
463 ,2 ,29 ,7  ,2  ,581  
464 ,12,200,90 ,0  ,5027 
465 ,12,0  ,4  ,0  ,1030 
466 ,22,0  ,2  ,2  ,583  
467 ,28,222,0  ,1  ,466  
468 ,2 ,4  ,0  ,2  ,585  
469 ,2 ,3  ,7  ,2  ,587  
470 ,12,0  ,5  ,0  ,1050 
471 ,12,0  ,5  ,0  ,1040 
472 ,29,0  ,0  ,2  ,589  
473 ,2 ,29 ,1  ,2  ,591  
474 ,2 ,5  ,5  ,2  ,593  
475 ,3 ,17 ,0  ,2  ,595  
476 ,22,0  ,2  ,2  ,597  
477 ,12,0  ,7  ,0  ,3060 
478 ,2 ,6  ,7  ,2  ,599  
479 ,12,0  ,7  ,0  ,1120 
480 ,2 ,37 ,4  ,2  ,601  
481 ,33,4  ,0  ,2  ,603  
482 ,2 ,26 ,4  ,2  ,605  
483 ,12,0  ,8  ,0  ,1220 
484 ,29,0  ,0  ,2  ,607  
485 ,28,222,0  ,1  ,484  
486 ,2 ,9  ,6  ,2  ,609  
487 ,12,0  ,9  ,0  ,1110 
488 ,20,1  ,123,1  ,0    
489 ,12,0  ,9  ,0  ,1020 
490 ,1 ,1  ,0  ,14 ,611  
491 ,12,0  ,10 ,0  ,4137 
492 ,2 ,33 ,5  ,2  ,625  
493 ,12,0  ,10 ,0  ,1090 
494 ,29,0  ,0  ,2  ,627  
495 ,2 ,29 ,4  ,2  ,629  
496 ,2 ,46 ,7  ,2  ,631  
497 ,13,1  ,1  ,2  ,633  
498 ,12,0  ,11 ,0  ,1040 
499 ,12,0  ,11 ,0  ,1100 
500 ,22,0  ,2  ,2  ,635  
501 ,28,222,0  ,1  ,500  
502 ,2 ,12 ,5  ,2  ,637  
503 ,12,0  ,12 ,0  ,1030 
504 ,12,0  ,12 ,0  ,1120 
505 ,12,0  ,12 ,0  ,1110 
506 ,22,0  ,2  ,2  ,639  
507 ,28,222,0  ,1  ,506  
508 ,2 ,13 ,2  ,2  ,641  
509 ,43,13 ,3  ,2  ,643  
510 ,20,1  ,141,1  ,0    
511 ,12,0  ,13 ,0  ,1166 
512 ,41,14 ,3  ,2  ,645  
513 ,12,206,90 ,0  ,5027 
514 ,2 ,41 ,6  ,2  ,647  
515 ,2 ,41 ,6  ,2  ,649  
516 ,1 ,1  ,0  ,12 ,651  
517 ,12,0  ,16 ,0  ,4147 
518 ,1 ,1  ,0  ,13 ,663  
519 ,12,0  ,17 ,0  ,4147 
520 ,20,1  ,151,1  ,0    
521 ,12,0  ,17 ,0  ,3076 
522 ,12,0  ,17 ,0  ,1080 
523 ,12,0  ,17 ,0  ,1070 
524 ,12,201,90 ,0  ,5027 
525 ,3 ,17 ,0  ,2  ,676  
526 ,3 ,17 ,0  ,2  ,678  
527 ,3 ,17 ,0  ,2  ,680  
528 ,12,0  ,18 ,0  ,4090 
529 ,12,0  ,18 ,0  ,4100 
530 ,12,0  ,18 ,0  ,4110 
531 ,12,0  ,18 ,0  ,4147 
532 ,12,0  ,18 ,0  ,4127 
533 ,12,0  ,18 ,0  ,4150 
534 ,12,0  ,19 ,0  ,4160 
535 ,12,0  ,19 ,0  ,4150 
536 ,12,0  ,19 ,0  ,4070 
537 ,12,0  ,19 ,0  ,4060 
538 ,1 ,1  ,0  ,10 ,682  
539 ,33,4  ,0  ,2  ,692  
540 ,12,200,90 ,0  ,5027 
541 ,12,0  ,21 ,0  ,1050 
542 ,2 ,0  ,0  ,2  ,694  
543 ,28,80 ,0  ,1  ,694  
544 ,2 ,16 ,2  ,2  ,696  
545 ,12,0  ,22 ,0  ,1020 
546 ,29,0  ,0  ,2  ,698  
547 ,2 ,23 ,4  ,2  ,700  
548 ,38,7  ,7  ,2  ,702  
549 ,7 ,22 ,7  ,2  ,704  
550 ,7 ,23 ,0  ,2  ,706  
551 ,12,0  ,15 ,0  ,4093 
552 ,12,0  ,15 ,0  ,4081 
553 ,12,0  ,15 ,0  ,4082 
554 ,22,0  ,2  ,2  ,708  
555 ,12,0  ,1  ,0  ,3030 
556 ,12,0  ,1  ,0  ,3020 
557 ,12,0  ,1  ,0  ,3070 
558 ,2 ,0  ,3  ,2  ,710  
559 ,12,0  ,1  ,0  ,1050 
560 ,12,0  ,1  ,0  ,1120 
561 ,12,0  ,1  ,0  ,1110 
562 ,12,0  ,1  ,0  ,1040 
563 ,12,0  ,1  ,0  ,1030 
564 ,12,201,90 ,0  ,5027 
565 ,12,0  ,2  ,0  ,4020 
566 ,12,0  ,2  ,0  ,4030 
567 ,12,0  ,2  ,0  ,4040 
568 ,3 ,17 ,0  ,2  ,712  
569 ,12,0  ,2  ,0  ,4097 
570 ,12,0  ,2  ,0  ,4107 
571 ,2 ,1  ,3  ,2  ,714  
572 ,2 ,39 ,5  ,2  ,716  
573 ,1 ,1  ,0  ,10 ,718  
574 ,12,0  ,3  ,0  ,4147 
575 ,2 ,34 ,7  ,2  ,728  
576 ,12,0  ,3  ,0  ,3036 
577 ,2 ,2  ,0  ,2  ,730  
578 ,12,0  ,3  ,0  ,1240 
579 ,35,0  ,0  ,2  ,732  
580 ,19,9  ,0  ,2  ,734  
581 ,20,1  ,206,1  ,0    
582 ,12,0  ,4  ,0  ,3026 
583 ,2 ,41 ,4  ,2  ,736  
584 ,2 ,22 ,3  ,2  ,738  
585 ,2 ,4  ,2  ,2  ,740  
586 ,2 ,3  ,7  ,2  ,742  
587 ,3 ,1  ,0  ,2  ,744  
588 ,3 ,1  ,0  ,2  ,746  
589 ,35,0  ,0  ,2  ,748  
590 ,2 ,29 ,1  ,2  ,750  
591 ,20,1  ,216,1  ,0    
592 ,33,4  ,0  ,2  ,752  
593 ,2 ,37 ,5  ,2  ,754  
594 ,12,0  ,6  ,0  ,1070 
595 ,12,0  ,6  ,0  ,1050 
596 ,7 ,14 ,7  ,2  ,756  
597 ,29,0  ,0  ,2  ,758  
598 ,2 ,28 ,6  ,2  ,760  
599 ,2 ,7  ,2  ,2  ,762  
600 ,2 ,28 ,6  ,2  ,764  
601 ,2 ,35 ,1  ,2  ,766  
602 ,12,0  ,8  ,0  ,3040 
603 ,20,1  ,224,1  ,0    
604 ,12,0  ,8  ,0  ,3026 
605 ,2 ,26 ,5  ,2  ,768  
606 ,36,18 ,6  ,2  ,770  
607 ,35,0  ,0  ,2  ,772  
608 ,33,4  ,0  ,2  ,774  
609 ,2 ,9  ,5  ,2  ,776  
610 ,43,9  ,8  ,2  ,778  
611 ,12,201,90 ,0  ,5027 
612 ,3 ,35 ,0  ,2  ,780  
613 ,12,0  ,10 ,0  ,4080 
614 ,3 ,17 ,0  ,2  ,782  
615 ,3 ,17 ,0  ,2  ,784  
616 ,12,0  ,10 ,0  ,4090 
617 ,12,0  ,10 ,0  ,4100 
618 ,12,0  ,10 ,0  ,4110 
619 ,12,0  ,10 ,0  ,4120 
620 ,12,0  ,10 ,0  ,4070 
621 ,12,0  ,10 ,0  ,4147 
622 ,12,0  ,10 ,0  ,4137 
623 ,12,0  ,10 ,0  ,4190 
624 ,12,0  ,10 ,0  ,4200 
625 ,2 ,10 ,7  ,2  ,786  
626 ,12,0  ,10 ,0  ,1130 
627 ,35,0  ,0  ,2  ,788  
628 ,2 ,6  ,2  ,2  ,790  
629 ,2 ,29 ,5  ,2  ,792  
630 ,33,4  ,0  ,2  ,794  
631 ,2 ,12 ,1  ,2  ,796  
632 ,12,0  ,11 ,0  ,1120 
